Missions-Nr. | Start-Datum | Missionsbezeichnung |  Orbiter   | Startrampe
-------------------------------------------------------------------------
1 | 12.04.1981 | STS-1 | Columbia | LC-39A
2 | 12.11.1981 | STS-2 | Columbia | LC-39A
3 | 22.03.1982 | STS-3 | Columbia | LC-39A
4 | 27.06.1982 | STS-4 | Columbia | LC-39A
5 | 11.11.1982 | STS-5 | Columbia | LC-39A
6 | 04.04.1983 | STS-6 | Challenger | LC-39A
7 | 18.06.1983 | STS-7 | Challenger | LC-39A
8 | 30.08.1983 | STS-8 | Challenger | LC-39A
9 | 28.11.1983 | STS-9 | Columbia | LC-39A
10 | 03.02.1984 | STS-41-B | Challenger | LC-39A
11 | 06.04.1984 | STS-41-C | Challenger | LC-39A
12 | 30.08.1984 | STS-41-D | Discovery | LC-39A
13 | 05.10.1984 | STS-41-G | Challenger | LC-39A
14 | 08.11.1984 | STS-51-A | Discovery | LC-39A
15 | 25.01.1985 | STS-51-C | Discovery | LC-39A
16 | 12.04.1985 | STS-51-D | Discovery | LC-39A
17 | 29.04.1985 | STS-51-B | Challenger | LC-39A
18 | 17.06.1985 | STS-51-G | Discovery | LC-39A
19 | 29.07.1985 | STS-51-F | Challenger | LC-39A
20 | 27.08.1985 | STS-51-I | Discovery | LC-39A
21 | 03.10.1985 | STS-51-J | Atlantis | LC-39A
22 | 30.10.1985 | STS-61-A | Challenger | LC-39A
23 | 27.11.1985 | STS-61-B | Atlantis | LC-39A
24 | 12.01.1986 | STS-61-C | Columbia | LC-39A
25 | 28.01.1986 | STS-51-L | Challenger | LC-39B
26 | 29.09.1988 | STS-26 | Discovery | LC-39B
27 | 02.12.1988 | STS-27 | Atlantis | LC-39B
28 | 13.03.1989 | STS-29 | Discovery | LC-39B
29 | 04.05.1989 | STS-30 | Atlantis | LC-39B
30 | 08.08.1989 | STS-28 | Columbia | LC-39B
31 | 18.10.1989 | STS-34 | Atlantis | LC-39B
32 | 23.11.1989 | STS-33 | Discovery | LC-39B
